model,feature_set,scheme,horizon,n_windows,pooled_ic,pooled_r2
ElasticNet,repr_grid,rolling_9m_3m,5,32,0.4668043487495301,0.20489481633366236
XGBoost,repr_grid,expanding,5,27,0.5312762915997681,0.31038664908255775
XGBoost,repr_grid,rolling_9m_3m,5,32,0.4982371468214821,0.3088805743978732
OLS,repr_grid_raw,expanding,5,27,0.2631161872158798,0.1005320155945928
OLS,repr_grid_raw,rolling_9m_3m,5,32,0.31309707401322867,0.1249503516307292
ElasticNet,repr_grid_raw,expanding,5,27,0.5787279644558507,0.3854404355918396
ElasticNet,repr_grid_raw,rolling_9m_3m,5,32,0.4697852160708638,0.21339490312002696
XGBoost,repr_grid_raw,expanding,5,27,0.5321678187429855,0.29784120849780926
XGBoost,repr_grid_raw,rolling_9m_3m,5,32,0.49536977611321986,0.3066660781611341
OLS,repr_bkm,expanding,5,27,0.2924195836987997,0.11315008928457237
OLS,repr_bkm,rolling_9m_3m,5,32,0.33412816599536266,0.11268450345071646
ElasticNet,repr_bkm,expanding,5,27,0.5152925454723624,0.2997434481272052
ElasticNet,repr_bkm,rolling_9m_3m,5,32,0.409370596899544,0.09306751271998659
XGBoost,repr_bkm,expanding,5,27,0.46209980316149485,0.24497636836625092
XGBoost,repr_bkm,rolling_9m_3m,5,32,0.4345030045475554,0.2570581033621623
